currency_pair,volume_24h,Last_price,Change_24h,High_24h,Low_24h
NVC/BTC,0.09 BTC,0.00001950 BTC,-0.26%,0.00001996 BTC,0.00001932 BTC
NEXO/BTC,0.08 BTC,0.00001975 BTC,-14.06%,0.00002298 BTC,0.00001915 BTC
ENJ/BTC,0.08 BTC,0.00002029 BTC,-2.59%,0.00002098 BTC,0.00001992 BTC
BLK/BTC,0.08 BTC,0.00000384 BTC,2.95%,0.00000393 BTC,0.00000371 BTC
YOC/BTC,0.07 BTC,0.00000002 BTC,0%,0.00000003 BTC,0.00000002 BTC
GAME/BTC,0.07 BTC,0.00000789 BTC,-1%,0.00000846 BTC,0.00000776 BTC
BURST/BTC,0.07 BTC,0.00000048 BTC,0%,0.00000048 BTC,0.00000048 BTC
CRAD/BTC,0.07 BTC,0.00000040 BTC,0%,0.00000041 BTC,0.00000036 BTC
DGTX/BTC,0.07 BTC,0.00000603 BTC,-1.47%,0.00000654 BTC,0.00000596 BTC
RVN/BTC,0.06 BTC,0.00000229 BTC,-4.18%,0.00000242 BTC,0.00000228 BTC
UQC/BTC,0.06 BTC,0.00016864 BTC,-3.99%,0.00017669 BTC,0.00016864 BTC
PIVX/BTC,0.05 BTC,0.00004788 BTC,-0.6%,0.00004847 BTC,0.00004715 BTC
EVC/BTC,0.05 BTC,0.00000079 BTC,-10.23%,0.00000088 BTC,0.00000073 BTC
BNT/BTC,0.05 BTC,0.00017166 BTC,2.24%,0.00017591 BTC,0.00016166 BTC
GAS/BTC,0.05 BTC,0.00011290 BTC,4.61%,0.00014998 BTC,0.00009811 BTC
SIB/BTC,0.05 BTC,0.00000217 BTC,1.4%,0.00000218 BTC,0.00000212 BTC
DRGN/BTC,0.05 BTC,0.00001025 BTC,14.78%,0.00001379 BTC,0.0000035 BTC
HVN/BTC,0.05 BTC,0.00000055 BTC,-11.29%,0.00000062 BTC,0.00000052 BTC
TUBE/BTC,0.05 BTC,0.00000145 BTC,1.4%,0.00000148 BTC,0.00000133 BTC
QTUM/BTC,0.05 BTC,0.00025118 BTC,0.7%,0.00027 BTC,0.00023695 BTC
TRUMP/BTC,0.05 BTC,0.00000103 BTC,3%,0.00000105 BTC,0.000001 BTC
DCR/BTC,0.04 BTC,0.00169559 BTC,4.03%,0.00169753 BTC,0.00160016 BTC
GNT/BTC,0.04 BTC,0.00000621 BTC,5.25%,0.00000632 BTC,0.00000589 BTC
VERI/BTC,0.04 BTC,0.00052050 BTC,18.49%,0.00062305 BTC,0.00043923 BTC
FirstBlood/BTC,0.04 BTC,0.00000864 BTC,-8.47%,0.00000985 BTC,0.00000807 BTC
VRM/BTC,0.04 BTC,0.00001105 BTC,-1.07%,0.0000126 BTC,0.00001101 BTC
USC/BTC,0.04 BTC,0.00000186 BTC,1.64%,0.00000196 BTC,0.00000177 BTC
BTA/BTC,0.04 BTC,0.00000141 BTC,-9.03%,0.00000162 BTC,0.00000133 BTC
PPT/BTC,0.03 BTC,0.00003671 BTC,-2.34%,0.00003772 BTC,0.00003547 BTC
XAUR/BTC,0.03 BTC,0.00000420 BTC,-0.94%,0.00000428 BTC,0.00000419 BTC
ESR/BTC,0.03 BTC,0.00000146 BTC,3.55%,0.0000015 BTC,0.00000139 BTC
POLY/BTC,0.03 BTC,0.00000460 BTC,-1.92%,0.00000478 BTC,0.00000452 BTC
XTZ/BTC,0.03 BTC,0.00031330 BTC,1.23%,0.00032351 BTC,0.00030698 BTC
PAI/BTC,0.03 BTC,0.00000181 BTC,-6.22%,0.00000216 BTC,0.00000152 BTC
CRO/BTC,0.03 BTC,0.00001522 BTC,0.93%,0.00001539 BTC,0.00001481 BTC
MTL/BTC,0.03 BTC,0.00003547 BTC,0.14%,0.00003689 BTC,0.00003473 BTC
TPI/BTC,0.03 BTC,0.00000003 BTC,0%,0.00000003 BTC,0.00000003 BTC
KMD/BTC,0.03 BTC,0.00007321 BTC,3.42%,0.000075 BTC,0.00006922 BTC
DMD/BTC,0.03 BTC,0.00002674 BTC,-4.57%,0.00002802 BTC,0.00002602 BTC
PIN/BTC,0.03 BTC,0.00000063 BTC,-1.56%,0.00000064 BTC,0.00000063 BTC
SUMO/BTC,0.03 BTC,0.00000546 BTC,-2.15%,0.00000565 BTC,0.00000537 BTC
KNC/BTC,0.03 BTC,0.00017363 BTC,1.97%,0.00017915 BTC,0.00016866 BTC
XZC/BTC,0.03 BTC,0.00059150 BTC,0%,0.00059152 BTC,0.0005915 BTC
PAY/BTC,0.03 BTC,0.00000638 BTC,3.91%,0.00000654 BTC,0.00000606 BTC
TRX/BTC,0.03 BTC,0.00000189 BTC,-1.05%,0.00000192 BTC,0.00000188 BTC
ARC/BTC,0.03 BTC,0.00000014 BTC,0%,0.00000015 BTC,0.00000014 BTC
POWR/BTC,0.03 BTC,0.00001043 BTC,-0.29%,0.00001051 BTC,0.00000997 BTC
AMM/BTC,0.03 BTC,0.00000033 BTC,0%,0.00000033 BTC,0.00000033 BTC
FUN/BTC,0.03 BTC,0.00000041 BTC,-2.38%,0.00000042 BTC,0.00000041 BTC
QNT/BTC,0.03 BTC,0.00081486 BTC,4.84%,0.00084439 BTC,0.000754 BTC
RLT/BTC,0.03 BTC,0.00000003 BTC,0%,0.00000003 BTC,0.00000003 BTC
SNGLS/BTC,0.03 BTC,0.00000109 BTC,-1.8%,0.00000113 BTC,0.00000106 BTC
GUP/BTC,0.03 BTC,0.00000019 BTC,-9.52%,0.00000021 BTC,0.00000019 BTC
ICOS/BTC,0.03 BTC,0.00007981 BTC,-4.51%,0.00008775 BTC,0.00007175 BTC
BNB/BTC,0.03 BTC,0.00192855 BTC,1.62%,0.00197161 BTC,0.00184974 BTC
FLOT/BTC,0.03 BTC,0.00000023 BTC,0%,0.00000023 BTC,0.00000023 BTC
MIOTA/BTC,0.03 BTC,0.00006182 BTC,2.42%,0.00006201 BTC,0.00005976 BTC
LRC/BTC,0.03 BTC,0.00001428 BTC,7.53%,0.00001435 BTC,0.00001297 BTC
NXT/BTC,0.03 BTC,0.00000117 BTC,-0.85%,0.00000129 BTC,0.00000115 BTC
TAAS/BTC,0.03 BTC,0.00009312 BTC,12.91%,0.00009509 BTC,0.00008127 BTC
THS/BTC,0.03 BTC,0.00000059 BTC,0%,0.00000059 BTC,0.00000059 BTC
MNTP/BTC,0.03 BTC,0.00006206 BTC,-3.81%,0.00006697 BTC,0.0000606 BTC
JNB/BTC,0.03 BTC,0.01299999 BTC,0%,0.01299999 BTC,0.01299999 BTC
ECOREAL/BTC,0.03 BTC,0.00000523 BTC,-2.61%,0.00000541 BTC,0.00000514 BTC
BTM/BTC,0.03 BTC,0.00004402 BTC,-13.19%,0.00005071 BTC,0.00004289 BTC
TLC/BTC,0.03 BTC,0.00000552 BTC,4.94%,0.00000642 BTC,0.00000488 BTC
LOOM/BTC,0.03 BTC,0.00000240 BTC,-0.41%,0.00000246 BTC,0.00000231 BTC
STORJ/BTC,0.03 BTC,0.00001928 BTC,7.05%,0.00001942 BTC,0.00001777 BTC
DEX/BTC,0.03 BTC,0.00000084 BTC,0%,0.00000084 BTC,0.00000084 BTC
QASH/BTC,0.03 BTC,0.00000351 BTC,7.01%,0.00000357 BTC,0.00000326 BTC
CCRB/BTC,0.03 BTC,0.00000173 BTC,1.17%,0.00000176 BTC,0.00000168 BTC
TER/BTC,0.03 BTC,0.00000065 BTC,-2.99%,0.00000081 BTC,0.0000006 BTC
PRO/BTC,0.03 BTC,0.00001111 BTC,-0.36%,0.00001134 BTC,0.00001082 BTC
QBIT/BTC,0.03 BTC,0.00334900 BTC,1.82%,0.00335821 BTC,0.00328231 BTC
ECHO/BTC,0.03 BTC,0.00153215 BTC,-0.36%,0.00159954 BTC,0.00150191 BTC
KAPU/BTC,0.03 BTC,0.00000003 BTC,0%,0.00000003 BTC,0.00000003 BTC
RBIES/BTC,0.03 BTC,0.00000076 BTC,0%,0.00000076 BTC,0.00000075 BTC
ITI/BTC,0.03 BTC,0.00010967 BTC,-8.6%,0.00011999 BTC,0.00010912 BTC
BPTN/BTC,0.03 BTC,0.00000021 BTC,0%,0.00000021 BTC,0.00000021 BTC
PRES/BTC,0.03 BTC,0.00000025 BTC,0%,0.00000025 BTC,0.00000025 BTC
